episode,reward,avg10,epsilon,states,transitions
324,-250.0,-250.0,0.0985,1371,155100
325,-250.0,-250.0,0.0981,1371,155600
326,-250.0,-250.0,0.0976,1371,156100
327,-250.0,-250.0,0.0971,1371,156600
328,-250.0,-250.0,0.0966,1371,157100
329,-250.0,-250.0,0.0961,1371,157600
330,-250.0,-250.0,0.0956,1371,158100
331,-250.0,-250.0,0.0952,1371,158600
332,-250.0,-250.0,0.0947,1371,159100
333,-250.0,-250.0,0.0942,1371,159600
334,-250.0,-250.0,0.0937,1371,160100
335,-250.0,-250.0,0.0933,1371,160600
336,-250.0,-250.0,0.0928,1371,161100
337,-250.0,-250.0,0.0923,1371,161600
338,-250.0,-250.0,0.0919,1371,162100
339,-250.0,-250.0,0.0914,1371,162600
340,-250.0,-250.0,0.091,1371,163100
341,-250.0,-250.0,0.0905,1371,163600
342,-250.0,-250.0,0.09,1371,164100
343,-250.0,-250.0,0.0896,1371,164600
344,-250.0,-250.0,0.0891,1371,165100
345,-250.0,-250.0,0.0887,1371,165600
346,-250.0,-250.0,0.0883,1371,166100
347,-250.0,-250.0,0.0878,1371,166600
348,-250.0,-250.0,0.0874,1371,167100
349,-250.0,-250.0,0.0869,1371,167600
350,-250.0,-250.0,0.0865,1371,168100
351,-250.0,-250.0,0.0861,1371,168600
352,-250.0,-250.0,0.0856,1371,169100
353,-250.0,-250.0,0.0852,1371,169600
354,-250.0,-250.0,0.0848,1371,170100
355,-250.0,-250.0,0.0844,1371,170600
356,-250.0,-250.0,0.0839,1371,171100
357,-250.0,-250.0,0.0835,1371,171600
358,-250.0,-250.0,0.0831,1371,172100
359,-250.0,-250.0,0.0827,1371,172600
360,-250.0,-250.0,0.0823,1371,173100
361,-250.0,-250.0,0.0819,1371,173600
362,-250.0,-250.0,0.0815,1371,174100
363,-250.0,-250.0,0.081,1371,174600
364,-250.0,-250.0,0.0806,1371,175100
365,-250.0,-250.0,0.0802,1371,175600
366,-250.0,-250.0,0.0798,1371,176100
367,-250.0,-250.0,0.0794,1371,176600
368,-250.0,-250.0,0.079,1371,177100
369,-250.0,-250.0,0.0786,1371,177600
370,-250.0,-250.0,0.0783,1371,178100
371,-250.0,-250.0,0.0779,1371,178600
372,-250.0,-250.0,0.0775,1371,179100
373,-250.0,-250.0,0.0771,1371,179600
374,-250.0,-250.0,0.0767,1371,180100
375,-250.0,-250.0,0.0763,1371,180600
376,-250.0,-250.0,0.0759,1371,181100
377,-250.0,-250.0,0.0756,1371,181600
378,-250.0,-250.0,0.0752,1371,182100
379,-250.0,-250.0,0.0748,1371,182600
380,-250.0,-250.0,0.0744,1371,183100
381,-250.0,-250.0,0.0741,1371,183600
