grid_x_bucket,grid_z_bucket,visit_count
166,157,14
166,157,2
166,158,5
166,158,1
166,158,5
166,158,3
166,158,1
166,158,2
165,158,15
165,158,13
165,158,3
165,158,2
165,158,7
166,158,1
166,158,1
166,157,17
167,157,2
166,157,2
166,157,1
166,158,4
166,158,1
166,158,5
165,157,17
166,157,2
165,158,10
165,158,4
165,157,3
165,157,2
165,157,40
165,158,4
166,157,4
166,157,1
165,157,17
165,157,2
165,157,15
165,157,4
165,157,27
165,157,5
165,157,2
165,157,2
165,156,43
165,156,51
165,157,14
166,156,4
164,156,240
165,155,39
164,155,4
163,156,160
163,156,4
162,156,25
162,156,11
206,170,2
206,170,1
206,171,1
207,171,14
207,170,8
208,170,3
207,171,3
206,170,4
207,170,1
207,170,2
207,171,3
207,171,2
207,171,1
207,170,2
186,118,15
187,118,9
187,118,17
186,119,2
186,119,2
187,119,6
187,118,9
187,118,4
187,118,5
186,118,28
186,118,18
186,118,23
186,118,53
186,118,1
186,118,7
186,118,7
186,118,4
186,118,3
186,119,24
186,119,3
186,119,1
186,119,15
186,119,58
186,119,13
186,119,22
186,119,5
186,119,2
186,119,14
186,119,2
186,119,4
186,119,1
186,119,2
186,118,5
186,118,15
186,119,5
186,118,14
186,118,7
186,118,21
186,119,108
186,118,104
186,118,14
186,119,7
186,119,8
186,119,49
186,119,1
186,119,5
186,119,2
186,119,1
186,119,15
186,119,7
186,119,1
186,119,5
186,118,1
186,118,10
186,118,5
186,118,130
186,118,121
186,119,35
186,119,376
186,119,1
186,119,9
186,119,9
186,118,7
186,118,21
186,119,7
186,119,32
186,118,90
186,119,6
186,119,959
186,118,1592
186,119,3
185,118,26
187,118,9
186,117,7
186,117,38
186,117,12
185,117,10
186,118,474
186,117,87
186,118,56
186,119,299
186,119,5125
187,118,2
185,118,36
185,117,11
185,119,857
186,119,3151
185,119,197
186,120,710
185,119,898
186,120,15
185,118,496
185,117,100
186,118,7084
187,118,809
187,119,423
186,120,79
186,119,21
186,120,15
187,120,90
186,120,91
186,120,44
187,120,48
185,120,8
185,120,1
186,119,8
187,119,21
188,120,22
188,119,98
188,118,60
206,113,3
205,113,81
205,112,7
204,113,72
203,113,23
203,113,9
202,113,130
202,113,104
201,113,52
201,113,20
201,112,4
202,113,45
201,113,84
201,112,26
202,112,5
202,113,13
202,113,9
201,113,2
201,113,21
202,113,1
193,145,4
193,144,2
193,143,1
195,136,1
195,131,3
199,124,1
200,121,8
200,120,46
200,119,12
199,121,13
198,121,1
198,122,2
198,122,1
198,122,1
198,122,1
198,122,1
198,122,2
198,122,2
198,121,43
197,121,1
197,121,3
197,121,1
197,121,2
197,121,1
197,121,1
196,121,1
196,121,1
196,121,1
196,121,1
196,121,14
195,121,8
195,122,1
195,122,9
195,122,2
195,122,1
195,122,1
196,122,6
196,122,4
196,122,1
196,122,1
196,122,1
196,122,2
195,123,1
195,123,1
195,123,14
194,123,1
194,123,2
194,123,2
194,123,1
194,123,2
194,123,1
194,123,18
193,123,16
193,123,2
192,123,14
192,123,1
192,123,2
192,123,1
192,123,1
192,123,1
192,123,1
192,123,2
192,123,3
192,123,4
1067,430,1
190,159,12
